Abstract,DOI,link,Topic
"This paper compares the long-term (1970-2002) rates of real growth in health spending per capita in the United States and a group of high-income countries in the Organization for Economic Cooperation and Development (OECD). Real health spending growth is decomposed into population aging, overall economic growth, and excess growth. Although rates of aging and overall economic growth were similar, annual excess growth was much higher in the United States (2.0 percent) versus the OECD countries studied (1.1 percent). That difference, which is of an economically important magnitude, suggests that country-specific institutional factors might contribute to long-term health spending trends.",https://doi.org/10.1377/hlthaff.26.1.154,https://pubmed.ncbi.nlm.nih.gov/17211024/,economics
"Model-based economic evaluations of new interventions have shown that user behaviour (uptake) is a critical driver of overall impact achieved. However, early economic evaluations, prior to introduction, often rely on assumed levels of uptake based on expert opinion or uptake of similar interventions. In addition to the likely uncertainty surrounding these uptake assumptions, they also do not allow for uptake to be a function of product, intervention, or user characteristics. This letter proposes using uptake projections from discrete choice experiments (DCE) to better parameterize uptake and substitution in cost-effectiveness models. A simple impact model is developed and illustrated using an example from the HIV prevention field in South Africa. Comparison between the conventional approach and the DCE-based approach shows that, in our example, DCE-based impact predictions varied by up to 50% from conventional estimates and provided far more nuanced projections. In the absence of observed uptake data and to model the effect of variations in intervention characteristics, DCE-based uptake predictions are likely to greatly improve models parameterizing uptake solely based on expert opinion. This is particularly important for global and national level decision making around introducing new and probably more expensive interventions, particularly where resources are most constrained.",https://doi.org/10.1002/hec.3297,https://pubmed.ncbi.nlm.nih.gov/26773825/,economics
"Objectives:
        
      
      Decision-makers are increasingly requesting economic analyses on transportation-related interventions, but health is often excluded as a determinant of value. We assess the health-related economic impact of bicycle infrastructure investments in three Canadian cities (Victoria, Kelowna and Halifax), comparing a baseline reference year (2016) with the future infrastructure build-out (2020).
    


          Methods:
        
      
      The World Health Organization's Health Economic Assessment Tool (HEAT; version 4.2) was used to quantify the economic value of health benefits associated with increased bicycling, using a 10-year time horizon. Outputs comprise premature deaths prevented, carbon emissions avoided, and a benefit:cost ratio. For 2016-2020, we derived cost estimates for bicycle infrastructure investments (including verification from city partners) and modelled three scenarios for changes in bicycling mode share: 'no change', 'moderate change' (a 2% increase), and 'major change' (a 5% increase). Further sensitivity analyses (32 per city) examined how robust the moderate scenario findings were to variation in parameter inputs.
    


          Results:
        
      
      Planned bicycle infrastructure investments between 2016 and 2020 ranged from $28-69 million (CAD; in 2016 prices). The moderate scenario benefit:cost ratios were between 1.7:1 (Victoria) and 2.1:1 (Halifax), with the benefit estimate incorporating 9-18 premature deaths prevented and a reduction of 87-142 thousand tonnes of carbon over the 10-year time horizon. The major scenario benefit:cost ratios were between 3.9:1 (Victoria) and 4.9:1 (Halifax), with 19-43 premature deaths prevented and 209-349 thousand tonnes of carbon averted. Sensitivity analyses showed the ratio estimates to be sensitive to the time horizon, investment cost and value of a statistical life inputs.
    


          Conclusion:
        
      
      Within the assessment framework permitted by HEAT, the dollar value of health-related benefits exceeded the cost of planned infrastructure investments in bicycling in the three study cities. Depending on the decision problem, complementary analyses may be required to address broader questions relevant to decision makers in the public sector.",https://doi.org/10.1371/journal.pone.0246419,https://pubmed.ncbi.nlm.nih.gov/33556076/,economics
"Objective:
        
      
      To assess the economic burden of food allergy (FA) worldwide.
    


          Data sources:
        
      
      PubMed MEDLINE, Embase, and Cochrane Central Register of Controlled Trials on the Wiley platform were searched to identify literature that assessed direct, out-of-pocket, and opportunity costs of FA. All databases were searched back to their inception, and no language or date limits were applied.
    


          Study selections:
        
      
      We included primary studies that examined direct medical, out-of-pocket, or opportunity costs and/or lost labor productivity in food allergic adults and/or children and their families.
    


          Results:
        
      
      Eleven papers met our inclusion criteria, of which ed7 addressed direct medical, 7 addressed out-of-pocket, and 5 addressed opportunity costs. Estimates were based on data that reflected costs for a patient with FA (individual level) or costs for a household with a food allergic patient (household level). The mean individual-level direct medical costs ($2081) were much higher than the mean household-level costs ($806). The mean individual-level out-of-pocket ($1874) and opportunity ($1038) and opportunity cost were lower than the mean household-level out-of-pocket ($3339) and opportunity ($4881) costs. Household-level estimates of lost opportunity costs imposed the largest economic burden attributable to FA.
    


          Conclusion:
        
      
      Most of the economic burden studies reviewed measured components of economic burden that are unique to individuals with FA but did so in noncomparable ways. Addressing cost burdens and measuring them using standardized instruments and methods will be critical to better understand the economic burden of FA globally.",https://doi.org/10.1016/j.anai.2019.01.014,https://pubmed.ncbi.nlm.nih.gov/30703439/,economics
"You don't need an M.B.A. to know that to thrive in today's competitive market, you need to run your practice like a business. It's a matter of keeping productivity high, while holding the line on costs and stress.",https://doi.org/10.14219/jada.archive.1997.0124,https://pubmed.ncbi.nlm.nih.gov/9415759/,economics
"In 2000 the World Health Organization launched the ""Bone and Joint Decade"" campaign in part to promote cost-effective treatments. This will impact the organization, delivery, and funding of health care as the population ages. However, it is well recognized that resources in health care are limited and it is essential the resources available are used to best effect. Thus, there has been greater emphasis in the orthopaedic literature on the use of economics. Still, there is little discussion of whether and how the results of these economic methods can be further used to aid resource allocation decisions. We discuss the suitability of economic methods for priority setting in orthopaedic surgery, arguing economic evaluation alone is not sufficient for addressing resource allocation decisions. We also describe an alternative approach to priority setting that has been steadily gaining prominence within health economics--program budgeting and marginal analysis--and use a working example from the United Kingdom National Health Service to illustrate its application within orthopaedic surgery.",https://doi.org/10.1097/blo.0b013e31803427b9,https://pubmed.ncbi.nlm.nih.gov/17290157/,economics
"The pressure for health-care systems to provide more resource-intensive health care and newer more costly therapies is significant, despite limited health-care budgets. As such, demonstration that a new therapy is effective is no longer sufficient to ensure that it is funded within publicly funded health-care systems. The impact of a therapy on health-care costs is also an important consideration for decision makers who must allocate scarce resources. The clinical benefits and costs of a new therapy can be estimated simultaneously using economic evaluation; the strengths and limitations of which are discussed herein. In addition, within this chapter, we discuss the important economic outcomes that can be collected within a clinical trial (alongside the clinical outcome data) enabling consideration of the impact of the therapy on overall resource use, thus enabling performance of an economic evaluation, if the therapy is shown to be effective.",https://doi.org/10.1007/978-1-0716-1138-8_27,https://pubmed.ncbi.nlm.nih.gov/33871861/,economics
"The introduction of market forces into the NHS has led to an operational divorce between health care providers and those who need health-care. Central to this change has been the widespread use of contracts. As a management problem, contract negotiation must incorporate consideration of full cost recovery to establish prices for hospital services sold and to ensure that available information is employed in assessing external services purchased. Ignoring the important issue of information availability in identifying relevant costs, it is the difficulty in specifying the cost of an episode of treatment, for example, that has led to contracts being negotiated in block form. Argues that this may be the only contract that can be effectively established. An important consequence of this is that the complexity of hospital services and requirements will work against a wider implementation of piecemeal managed competition and will form a natural barrier to market forces in the NHS.",https://doi.org/10.1108/02689239410059598,https://pubmed.ncbi.nlm.nih.gov/10137558/,economics
"Objectives:
        
      
      To assess the economic burden of ill health in Guatemala, the characteristics of Guatemala's health system that potentially explain this burden, and to identify policies to help ameliorate it.
    


          Methods:
        
      
      Data from the 2000 and 2006 Living Standard Measurement Surveys are used to assess levels of financial burden from ill health, along with information on health system characteristics of Guatemala and recent reform experiences of several middle- and low-income countries.
    


          Results:
        
      
      Despite some gains over the period from 2000 to 2006, there continues to be both a high level and inequitable distribution of financial burden associated with ill health in Guatemala. Low levels of insurance coverage, a heavy concentration of the uninsured among the less well off and rural populations, as well as their low levels of access to public services are important drivers of out of pocket spending on health. Households with older members also appear to be at increased risk for out of pocket payments.
    


          Conclusions:
        
      
      High levels of catastrophic health spending and poverty co-exist with significant economic inequality and poverty in Guatemala. With health system features and a large informal sector similar to many other developing countries, recent international experience can provide useful lessons to help Guatemala devise innovative financing and payment mechanisms to address these concerns.",https://doi.org/10.1016/j.healthpol.2010.11.011,https://pubmed.ncbi.nlm.nih.gov/21168931/,economics
"Healthcare professionals are under increasing pressure to stem the rise of healthcare costs and national healthcare expenditures. This has led to great interest in cost-effective therapy for patients. This article reviews the different types of economic analysis of medical practice and the components of a cost-effective analysis. It also reviews how to evaluate a cost-effectiveness paper and apply it to clinical practice. Economic analysis of a medical practice is a formal and quantitative method of comparing alternative strategies with respect to cost and outcomes. These analyses are frequently poorly performed, limiting their applicability to clinic practice. After reading this review, a physician should be better equipped to effectively evaluate economic analyses.",https://doi.org/10.1055/s-2003-39998,https://pubmed.ncbi.nlm.nih.gov/12806563/,economics
